s0,s1,s2,transform,action,overall
CC,CR,RC,0.0174365,0.271678,0.359659
CC,CR,RC,0.017074,0.265399,0.356823
CC,CR,RC,0.0161343,0.250925,0.331774
CC,CR,RC,0.0161415,0.251794,0.341235
CC,CR,RC,0.0161734,0.250401,0.336951
CC,CR,RC,0.0162415,0.250486,0.348694
CC,CR,RC,0.0161555,0.250302,0.339186
CC,CR,RC,0.0161335,0.250021,0.334662
CC,CR,C,0.0153134,0.250282,0.336729
CC,CR,C,0.0112463,0.250058,0.336365
CC,CR,C,0.0146741,0.247308,0.330317
CC,CR,C,0.0139424,0.229177,0.309889
CC,CR,C,0.0136752,0.229163,0.321926
CC,CR,C,0.0137453,0.228857,0.301333
CC,CR,C,0.0139022,0.22885,0.302515
CC,CR,C,0.0139714,0.229494,0.302367
CC,CR,C,0.0139076,0.228562,0.305664
CC,CR,C,0.0138423,0.228583,0.304065
CC,CR,C,0.0103984,0.228582,0.312304
CC,CR,C,0.0137814,0.228497,0.314232
CC,CR,C,0.0138854,0.228336,0.304383
CC,CR,C,0.0138676,0.228941,0.302787
CC,CR,C,0.013773,0.228273,0.307835
CC,CR,C,0.0136956,0.228119,0.307883
CC,CR,C,0.0138597,0.228121,0.307956
CC,CR,C,0.0137496,0.228095,0.3082
CC,CR,C,0.0137221,0.228013,0.317321
CC,CR,C,0.0136314,0.228007,0.296845
CC,CR,R,0.00975326,0.227694,0.301073
CC,CR,R,0.00959609,0.227536,0.298662
CC,CR,R,0.00958166,0.227534,0.298304
CC,CR,R,0.00954461,0.232895,0.307097
CC,CR,R,0.0104864,0.248081,0.324126
CC,CR,R,0.0104914,0.247941,0.340287
CC,CR,R,0.0106013,0.248012,0.327058
CC,CR,R,0.0104549,0.247873,0.328574
CC,CR,R,0.0104929,0.256469,0.335457
CC,CR,R,0.0113782,0.268575,0.353941
CC,CR,R,0.0114605,0.268337,0.347414
CC,CR,R,0.0113655,0.268293,0.369551
CC,CR,R,0.0114749,0.268366,0.357647
CC,CR,R,0.0113636,0.268331,0.347386
CC,CR,R,0.0112384,0.268366,0.351456
CC,CR,R,0.00724207,0.26819,0.355016
CC,CR,R,0.0113135,0.268224,0.355808
CC,CR,R,0.011306,0.268262,0.3631
CC,CR,R,0.00690502,0.24757,0.333529
CC,CR,R,0.0104865,0.247532,0.322982
CC,RC,CC,0.015761,0.223967,0.309894
CC,RC,CC,0.0158899,0.224007,0.307501
CC,RC,CC,0.0142692,0.22383,0.306828
CC,RC,CC,0.0155411,0.224435,0.304593
CC,RC,CC,0.0156948,0.223841,0.3189
CC,RC,CC,0.015478,0.223849,0.303217
CC,RC,CC,0.0155242,0.22425,0.304907
CC,RC,CC,0.0154667,0.223918,0.299345
CC,RC,CC,0.0154838,0.224116,0.307467
CC,RC,CC,0.0156337,0.224152,0.312103
CC,RC,CC,0.0155232,0.224178,0.305136
CC,RC,CC,0.0154651,0.224431,0.321707
CC,RC,CC,0.0155759,0.224116,0.312693
CC,RC,CC,0.0157535,0.225756,0.309394
CC,RC,CC,0.0157187,0.225941,0.309531
CC,RC,CC,0.0157634,0.225961,0.308381
CC,RC,CC,0.0155704,0.226067,0.307936
CC,RC,CC,0.0124443,0.225806,0.306934
CC,RC,CC,0.0156888,0.225547,0.322911
CC,RC,CC,0.0155807,0.225119,0.308575
CC,RC,RR,0.0173763,0.225202,0.311912
CC,RC,RR,0.0172087,0.224901,0.314542
CC,RC,RR,0.017198,0.224862,0.309071
CC,RC,RR,0.0170528,0.224789,0.309569
CC,RC,RR,0.0170968,0.224796,0.315049
CC,RC,RR,0.017024,0.224888,0.325514
CC,RC,RR,0.0171216,0.225354,0.307744
CC,RC,RR,0.017304,0.224953,0.310129
CC,RC,RR,0.0171307,0.224793,0.306204
CC,RC,RR,0.0139197,0.224862,0.309284
CC,RC,RR,0.0171851,0.22517,0.309489
CC,RC,RR,0.0172302,0.22539,0.311454
CC,RC,RR,0.016979,0.223786,0.324877
CC,RC,RR,0.0170807,0.22399,0.303998
CC,RC,RR,0.017062,0.224137,0.312035
CC,RC,RR,0.0170749,0.223947,0.302006
CC,RC,RR,0.0169434,0.22377,0.304207
CC,RC,RR,0.0169706,0.22377,0.305886
CC,RC,RR,0.0139183,0.224181,0.305328
CC,RC,RR,0.0173607,0.228109,0.330758
CC,RC,CR,0.0164754,0.227543,0.310915
CC,RC,CR,0.0161816,0.227658,0.310402
CC,RC,CR,0.0162458,0.227685,0.313093
CC,RC,CR,0.0127691,0.227215,0.313988
CC,RC,CR,0.0162899,0.227555,0.312888
CC,RC,CR,0.0161695,0.227568,0.313104
CC,RC,CR,0.0162131,0.228655,0.330846
CC,RC,CR,0.0161677,0.228208,0.317055
CC,RC,CR,0.0158968,0.223621,0.303528
CC,RC,CR,0.0159717,0.223342,0.309188
CC,RC,CR,0.0159577,0.223264,0.307825
CC,RC,CR,0.0158956,0.222755,0.308279
CC,RC,CR,0.015864,0.22285,0.307284
CC,RC,CR,0.0160243,0.223828,0.324624
CC,RC,CR,0.0158928,0.223617,0.306304
CC,RC,CR,0.0158412,0.223559,0.307715
